primaryTitle,startYear,revenue
Legend of the Guardians: The Owls of Ga'Hoole,2010,140073390
Catwoman,2004,82102379
Hercules,2014,243400000
Treasure Planet,2002,109578115
Land of the Lost,2009,68688831
The Expendables 3,2014,206172544
Point Break,2015,133718711
In the Heart of the Sea,2015,93820758
The Adventures of Pluto Nash,2002,7103973
Green Zone,2010,94882889
The Peanuts Movie,2015,246233113
The Spanish Prisoner,1997,13835130
The Mummy Returns,2001,433013274
Gangs of New York,2002,193772504
The Flowers of War,2011,95311434
Surf's Up,2007,149044513
The Stepford Wives,2004,102000000
Black Hawk Down,2001,172989651
The Campaign,2012,104907746
The Fifth Element,1997,263920180
Sex and the City 2,2010,288347692
The Road to El Dorado,2000,76432727
Ice Age: Continental Drift,2012,877244782
Cinderella,2015,543514353
The Lovely Bones,2009,93525586
Finding Nemo,2003,940335536
The Lord of the Rings: The Return of the King,2003,1118888979
The Lord of the Rings: The Two Towers,2002,926287400
Seventh Son,2014,114178613
Lara Croft: Tomb Raider,2001,274703340
Transcendence,2014,103039258
Jurassic Park III,2001,368780809
Rise of the Planet of the Apes,2011,482860185
The Spiderwick Chronicles,2008,162839667
A Good Day to Die Hard,2013,304654182
The Alamo,2004,25819961
The Incredibles,2004,631442092
Cutthroat Island,1995,10017322
Percy Jackson & the Olympians: The Lightning Thief,2010,226497209
Men in Black,1997,589390539
Toy Story 2,1999,497366869
Unstoppable,2010,167805466
Rush Hour 2,2001,347325802
What Lies Beneath,2000,155464351
Cloudy with a Chance of Meatballs,2009,242988466
Ice Age: Dawn of the Dinosaurs,2009,886686817
The Secret Life of Walter Mitty,2013,188133322
Charlie's Angels,2000,264105545
The Departed,2006,289847354
Mulan,1998,304320254
Tropic Thunder,2008,188072649
The Girl with the Dragon Tattoo,2011,232617430
Die Hard: With a Vengeance,1995,366101666
Sherlock Holmes,2009,524028679
Ben-Hur,2016,94061311
Atlantis: The Lost Empire,2001,186053725
Alvin and the Chipmunks: The Road Chip,2015,233755553
Valkyrie,2008,200276000
You Don't Mess with the Zohan,2008,201596308
Pixels,2015,243637091
A.I. Artificial Intelligence,2001,235926552
The Haunted Mansion,2003,182290266
Contact,1997,171120329
Hollow Man,2000,190213455
The Interpreter,2005,162944923
Percy Jackson: Sea of Monsters,2013,174578751
Lara Croft Tomb Raider: The Cradle of Life,2003,156505388
Now You See Me 2,2016,334901337
The Saint,1997,118063304
Spy Game,2001,143049560
Mission to Mars,2000,60874615
Rio,2011,484635760
Bicentennial Man,1999,93700000
The Devil's Own,1997,140807547
K-19: The Widowmaker,2002,35168966
Conan the Barbarian,1982,79114085
Cinderella Man,2005,108539911
The Nutcracker: The Untold Story,2010,16178959
Seabiscuit,2003,148336445
Twister,1996,494471524
Cast Away,2000,429632142
Happy Feet,2006,384335608
The Bourne Supremacy,2004,288500217
Air Force One,1997,315156409
Ocean's Eleven,2001,450717150
The Three Musketeers,2011,132274484
Hotel Transylvania,2012,358375603
Enchanted,2007,340487652
Safe House,2012,208076205
102 Dalmatians,2000,183611771
Tower Heist,2011,152930623
The Holiday,2006,194168700
Enemy of the State,1998,250649836
It's Complicated,2009,219103655
Ocean's Thirteen,2007,311312624
Open Season,2006,197309027
Divergent,2014,288747895
Enemy at the Gates,2001,96976270
The Rundown,2003,80916492
Last Action Hero,1993,137298489
Memoirs of a Geisha,2005,162242962
The Fast and the Furious: Tokyo Drift,2006,158468292
Meet Joe Black,1998,142940100
Collateral Damage,2002,78382433
All That Jazz,1979,37823676
Mirror Mirror,2012,183018522
Scott Pilgrim vs. the World,2010,47664559
The Core,2003,74208267
Nutty Professor II: The Klumps,2000,123307945
Scooby-Doo,2002,275650703
Dredd,2012,41037742
Click,2006,237681299
Creepshow,1982,21028755
Cats & Dogs 2 : The Revenge of Kitty Galore,2010,112483764
Jumper,2008,222231186
Hellboy II: The Golden Army,2008,160388063
Zodiac,2007,84785914
The 6th Day,2000,96085477
Bruce Almighty,2003,484572835
The Expendables,2010,274470394
Mission: Impossible,1996,457696359
The Hunger Games,2012,691210692
The Hangover Part II,2011,254455986
Batman Returns,1992,280000000
Over the Hedge,2006,343397247
Lilo & Stitch,2002,145771527
Charlotte's Web,2006,144000000
Deep Impact,1998,140464664
The Longest Yard,2005,190320568
Alvin and the Chipmunks: Chipwrecked,2011,342695435
Grown Ups 2,2013,246984278
Get Smart,2008,230685453
Something's Gotta Give,2003,266728738
Shutter Island,2010,294804195
Four Christmases,2008,163733697
Robots,2005,260696994
Face/Off,1997,245676146
Bedtime Stories,2008,212874442
Road to Perdition,2002,181001478
Just Go with It,2011,214918407
Con Air,1997,224012234
Eagle Eye,2008,178066569
Cold Mountain,2003,173013509
The Book of Eli,2010,157107755
Flubber,1997,177977226
The Haunting,1999,91188905
Space Jam,1996,250200000
The Day the Earth Stood Still,2008,233093859
Conspiracy Theory,1997,136982834
Fury,2014,211817906
Six Days Seven Nights,1998,164000000
Yogi Bear,2010,201584141
Spirit: Stallion of the Cimarron,2002,122563539
Zookeeper,2011,169852759
Lost in Space,1998,136159423
The Manchurian Candidate,2004,96105964
Hotel Transylvania 2,2015,473226958
Fantasia 2000,1999,90874570
The Time Machine,2002,123729176
Swordfish,2001,147080413
The Legend of Zorro,2005,142400065
What Dreams May Come,1998,71485043
The Brothers Grimm,2005,105316267
Mars Attacks!,1996,101371017
The Edge,1997,43312294
Surrogates,2009,122444772
Thirteen Days,2000,34566746
Daylight,1996,159212469
Walking With Dinosaurs,2013,126546518
Battlefield Earth,2000,21400000
Looney Tunes: Back in Action,2003,68514844
Nine,2009,53825515
Timeline,2003,19480739
The Postman,1997,17626234
Babe: Pig in the City,1998,69131860
The Last Witch Hunter,2015,146936910
Red Planet,2000,33463969
Arthur and the Invisibles,2006,107944236
Oceans,2009,19406406
A Sound of Thunder,2005,5989640
Pompeii,2014,117831631
A Beautiful Mind,2001,313542341
The Lion King,1994,788241776
Journey 2: The Mysterious Island,2012,355692760
Cloudy with a Chance of Meatballs 2,2013,248384621
Red Dragon,2002,209196298
Hidalgo,2004,108103450
Jack and Jill,2011,149673788
2 Fast 2 Furious,2003,236350661
The Little Prince,2015,97571250
The Invasion,2007,15071514
The Adventures of Rocky & Bullwinkle,2000,35134820
The Secret Life of Pets,2016,875958308
The League of Extraordinary Gentlemen,2003,179265204
Despicable Me 2,2013,970761885
Independence Day,1996,816969268
The Lost World: Jurassic Park,1997,229074524
Madagascar,2005,532680671
Children of Men,2006,69959751
X-Men,2000,296339527
Wanted,2008,258270008
The Rock,1996,335062621
Ice Age: The Meltdown,2006,660940780
50 First Dates,2004,196482882
Hairspray,2007,90450008
Exorcist: The Beginning,2004,78000586
Now You See Me,2013,117698894
Grown Ups,2010,271430189
The Terminal,2004,219417255
Hotel for Dogs,2009,73034460
Vertical Limit,2000,215663859
Charlie Wilson's War,2007,119000410
Shark Tale,2004,367275019
Dreamgirls,2006,154937680
Be Cool,2005,95226116
Munich,2005,130358911
Tears of the Sun,2003,85632458
Killers,2010,98159963
The Man from U.N.C.L.E.,2015,108145109
Spanglish,2004,55041367
Monster House,2006,140175006
Bandits,2001,67631903
First Knight,1995,127600435
Immortals,2011,226904017
Hostage,2005,77944725
Titan A.E.,2000,36754634
Hollywood Homicide,2003,51142659
Soldier,1998,14567883
Carriers,2009,5802422
Monkeybone,2001,5409517
Flight of the Phoenix,2004,21009180
Unbreakable,2000,248118121
Minions,2015,1156730962
Sucker Punch,2011,89792502
Snake Eyes,1998,103891409
Sphere,1998,13100000
The Angry Birds Movie,2016,349779543
Fool's Gold,2008,111231041
Funny People,2009,61458982
The Kingdom,2007,86658558
Talladega Nights: The Ballad of Ricky Bobby,2006,162966177
Dr. Dolittle 2,2001,176104344
Braveheart,1995,210000000
Jarhead,2005,96889998
The Simpsons Movie,2007,527068851
The Majestic,2001,37317558
Driven,2001,54744738
Two Brothers,2004,62172050
The Village,2004,256697520
Doctor Dolittle,1998,294456605
Signs,2002,408247917
Shrek 2,2004,919838758
Cars,2006,461983149
Runaway Bride,1999,309457509
xXx,2002,277448382
The SpongeBob Movie: Sponge Out of Water,2015,311594032
Ransom,1996,309492681
Inglourious Basterds,2009,319131050
Hook,1991,300854823
Die Hard 2,1990,240031094
S.W.A.T.,2003,116643346
Vanilla Sky,2001,203388341
Lady in the Water,2006,42285169
AVP: Alien vs. Predator,2004,171183863
Alvin and the Chipmunks: The Squeakquel,2009,443140005
We Were Soldiers,2002,114660784
Olympus Has Fallen,2013,161025640
Star Trek: Insurrection,1998,118000000
Battle: Los Angeles,2011,202466756
Big Fish,2003,122919055
War Horse,2011,177584879
The Monuments Men,2014,154984035
The Abyss,1989,90000098
Wall Street: Money Never Sleeps,2010,134748021
Dracula Untold,2014,215529201
The Siege,1998,116672912
Stardust,2007,135560026
Seven Years in Tibet,1997,131457682
The Dilemma,2011,67112664
Bad Company,2002,65977295
Doom,2005,55987321
I Spy,2002,33561137
Underworld: Awakening,2012,160112671
Rock of Ages,2012,59418613
Hart's War,2002,32287044
Killer Elite,2011,57777106
Ballistic: Ecks vs. Sever,2002,19924033
Hard Rain,1998,19870567
Osmosis Jones,2001,13596911
Legends of Oz: Dorothy's Return,2013,18662027
Blackhat,2015,17752940
Sky Captain and the World of Tomorrow,2004,57958696
Basic Instinct 2,2006,38629478
Escape Plan,2013,122915111
The Legend of Hercules,2014,61279452
The Sum of All Fears,2002,193000000
The Twilight Saga: Eclipse,2010,698491347
The Score,2001,71069884
Despicable Me,2010,543513985
Money Train,1995,35431113
Ted 2,2015,217022588
Agora,2009,39041505
Mystery Men,1999,29762011
Hall Pass,2011,83160734
The Insider,1999,60289912
The Finest Hours,2016,52099090
Body of Lies,2008,113280098
Dinner for Schmucks,2010,86387857
Abraham Lincoln: Vampire Hunter,2012,112265139
Entrapment,1999,212404396
The X Files,1998,189198313
The Last Legion,2007,25303038
Saving Private Ryan,1998,481840909
Need for Speed,2014,203277636
What Women Want,2000,374111707
Ice Age,2002,383257136
Dreamcatcher,2003,75715436
Lincoln,2012,275293450
The Matrix,1999,463517383
Apollo 13,1995,355237933
The Santa Clause 2,2002,172855065
Les Misérables,2012,441809770
You've Got Mail,1998,250821495
Step Brothers,2008,128107642
The Mask of Zorro,1998,250288523
Due Date,2010,211780824
Unbroken,2014,163442937
Space Cowboys,2000,128884132
Cliffhanger,1993,255000211
Broken Arrow,1996,150270147
The Kid,2000,69700000
World Trade Center,2006,162945894
The Dictator,2012,179379533
Eyes Wide Shut,1999,162091208
Annie,2014,133821816
Focus,2015,153962963
This Means War,2012,156974557
Blade: Trinity,2004,128905366
Red Dawn,1984,38376497
Resident Evil: Retribution,2012,240159255
Death Race,2008,73762516
The Long Kiss Goodnight,1996,89456761
Zathura: A Space Adventure,2005,64321501
Fight Club,1999,100853753
We Are Marshall,2006,43545364
Hudson Hawk,1991,17218080
"I, Frankenstein",2014,71154592
Oliver Twist,2005,42093706
Elektra,2005,56681566
Sin City: A Dame to Kill For,2014,39407616
Random Hearts,1999,74608570
Everest,2015,203427584
Perfume: The Story of a Murderer,2006,132180323
Austin Powers in Goldmember,2002,296655431
Astro Boy,2009,44091067
Jurassic Park,1993,920100000
Wyatt Earp,1994,25052000
Clear and Present Danger,1994,215887717
Dragon Blade,2015,121545703
Little Man,2006,101595121
U-571,2000,127666415
The American President,1995,107879496
The Love Guru,2008,41819064
3000 Miles to Graceland,2001,18720175
The Hateful Eight,2015,155760117
Hop,2011,183953723
300,2006,422610419
Meet the Fockers,2004,516642939
Marley & Me,2008,244082376
The Green Mile,1999,284600000
Wild Hogs,2007,253625427
Chicken Little,2005,314432665
Gone Girl,2014,369330363
The Bourne Identity,2002,214034224
GoldenEye,1995,352194034
The General's Daughter,1999,149705852
The Truman Show,1998,264118201
The Prince of Egypt,1998,218613188
Daddy Day Care,2003,164433867
2 Guns,2013,131940411
Cats & Dogs,2001,93375151
The Italian Job,2003,176070171
Two Weeks Notice,2002,93354918
Antz,1998,171757863
Couples Retreat,2009,171844840
Days of Thunder,1990,157920733
Cheaper by the Dozen 2,2005,129181830
Maze Runner: The Scorch Trials,2015,311256926
Eat Pray Love,2010,204594016
RED,2010,71664962
Any Given Sunday,1999,100230832
The Horse Whisperer,1998,186883563
Collateral,2004,217764291
The Scorpion King,2002,165333180
Ladder 49,2004,74541707
Jack Reacher,2012,218340595
Deep Blue Sea,1999,73648228
Contagion,2011,137551594
Coraline,2009,124596398
The Happening,2008,163403799
Man on Fire,2004,130293714
The Shaggy Dog,2006,61112916
Starsky & Hutch,2004,170268750
Jingle All the Way,1996,129832389
Hellboy,2004,99318987
A Civil Action,1998,56702901
ParaNorman,2012,107139399
The Jackal,1997,159330280
Paycheck,2003,96269812
The Tale of Despereaux,2008,50877145
Under Siege 2: Dark Territory,1995,104324083
Jack Ryan: Shadow Recruit,2014,50549107
Joy,2015,101134059
London Has Fallen,2016,205754447
Alien: Resurrection,1997,162000000
Shooter,2007,95696996
The Boxtrolls,2014,108255770
Practical Magic,1998,46683377
The Lego Movie,2014,469160692
Reign of Fire,2002,43061982
Gangster Squad,2013,105200903
Year One,2009,62357900
Invictus,2009,122233971
State of Play,2009,87784194
Duplicity,2009,60000000
My Favorite Martian,1999,36850101
The Sentinel,2006,77920346
Planet 51,2009,104945765
Star Trek: Nemesis,2002,67312826
Intolerable Cruelty,2003,119940815
Edge of Darkness,2010,74901339
The Relic,1997,33956608
Analyze That,2002,55003135
Righteous Kill,2008,73174566
The Soloist,2009,31720158
The Legend of Bagger Vance,2000,39459427
Almost Famous,2000,47383689
Garfield: A Tail of Two Kitties,2006,141702264
xXx: State of the Union,2005,71073932
Priest,2011,78309131
Sinbad: Legend of the Seven Seas,2003,26288320
Event Horizon,1997,26673242
Dragonfly,2002,52322400
The Black Dahlia,2006,49111202
Flyboys,2006,17800000
The Last Castle,2001,27642707
Supernova,2000,14828081
Winter's Tale,2014,30800231
The Mortal Instruments: City of Bones,2013,90565421
Meet Dave,2008,50650079
Dark Water,2005,25473093
Inkheart,2008,57490374
The Spirit,2008,39031337
Mortdecai,2015,30418560
The Monkey King 2,2016,193677158
The Great Raid,2005,10166502
Deadpool,2016,783112979
American Sniper,2014,542307423
Goosebumps,2015,158162788
Just Like Heaven,2005,102854431
The Flintstones in Viva Rock Vegas,2000,59468275
Rambo III,1988,189015611
Leatherheads,2008,41299492
Did You Hear About the Morgans?,2009,85280250
The Internship,2013,44000000
Resident Evil: Afterlife,2010,300228084
Red Tails,2012,50365377
The Devil's Advocate,1997,152944660
That's My Boy,2012,58058367
DragonHeart,1996,115267375
After the Sunset,2004,61347797
Ghost Rider: Spirit of Vengeance,2011,149217355
Captain Corelli's Mandolin,2001,62112895
The Pacifier,2005,113006880
Walking Tall,2004,57223890
Forrest Gump,1994,677945399
Alvin and the Chipmunks,2007,361366633
Meet the Parents,2000,330444045
Pocahontas,1995,346079773
Superman,1978,300218018
The Nutty Professor,1996,128769345
Hitch,2005,368100420
American Wedding,2003,231449203
Captain Phillips,2013,95000000
Date Night,2010,152263880
Casper,1995,287928194
The Equalizer,2014,192330738
Maid in Manhattan,2002,154906693
Crimson Tide,1995,157387195
The Pursuit of Happyness,2006,307077295
Flightplan,2005,223387299
Disclosure,1994,214015089
City of Angels,1998,198685114
Kill Bill: Vol. 1,2003,180949000
Kill Bill: Vol. 2,2004,152159461
Tango & Cash,1989,63408614
Death Becomes Her,1992,149022650
Shanghai Noon,2000,56932305
Executive Decision,1996,121969216
Mr. Popper's Penguins,2011,187361754
The Forbidden Kingdom,2008,127906624
Free Birds,2013,110000000
Alien³,1992,159773545
Evita,1996,141047179
Ronin,1998,41610884
The Ghost and the Darkness,1996,75000000
Paddington,2014,259207227
The Watch,2012,68267862
The Hunted,2003,34234008
Stuck on You,2003,33828318
Semi-Pro,2008,33472850
The Pirates! In an Adventure with Scientists!,2012,118338361
Changeling,2008,113020255
Chain Reaction,1996,60209334
The Fan,1996,18626419
The Phantom of the Opera,2004,154648887
Elizabeth: The Golden Age,2007,74237563
Æon Flux,2005,52304001
Gods and Generals,2003,12923936
Turbulence,1997,11466088
Muppets Most Wanted,2014,80383290
Thunderbirds,2004,28283637
Burlesque,2010,89519773
Lolita,1962,9250000
D-Tox,2002,6416302
Blade II,2002,155010032
Seven Pounds,2008,168167691
Bullet to the Head,2013,9489829
The Godfather: Part III,1990,136766062
Elizabethtown,2005,52034889
"You, Me and Dupree",2006,130431368
Superman II,1980,190458706
Gigli,2003,7266209
All the King's Men,2006,9450897
Shaft,2000,107196498
Anastasia,1997,139804348
Moulin Rouge!,2001,179213434
Domestic Disturbance,2001,54249294
Black Mass,2015,98837872
Flags of Our Fathers,2006,65900249
Law Abiding Citizen,2009,126690726
Grindhouse,2007,25037897
Lucky You,2007,5761917
Catch Me If You Can,2002,352114312
Zero Dark Thirty,2012,132820716
The Break-Up,2006,204999686
Mamma Mia!,2008,609841637
Valentine's Day,2010,216485654
The Dukes of Hazzard,2005,110803676
The Thin Red Line,1998,98126565
The Change-Up,2011,75450437
Man on the Moon,1999,47434430
Casino,1995,116112375
From Paris with Love,2010,52826594
"Me, Myself & Irene",2000,149270999
Barnyard,2006,72779000
Deck the Halls,2006,47231070
The Twilight Saga: New Moon,2009,709827462
Shrek,2001,484409218
The Adjustment Bureau,2011,127869379
Robin Hood: Prince of Thieves,1991,390493908
Jerry Maguire,1996,273552592
Ted,2012,549368315
As Good as It Gets,1997,314178011
Patch Adams,1998,202292902
Anchorman 2: The Legend Continues,2013,173649015
Mr. Deeds,2002,171269535
Super 8,2011,260095987
Erin Brockovich,2000,256271286
How to Lose a Guy in 10 Days,2003,177371441
22 Jump Street,2014,188441614
